date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2023-10-04,G394,HK_2021_G394,HEROIC MASTER,4,Was sent for sampling post-race.,1,3
2023-10-04,G258,HK_2021_G258,MAJESTIC KNIGHT,3,Was bumped on jumping.  Was sent for sampling post-race.,2,3
2023-10-04,H125,HK_2022_H125,HUMBLE STAR,6,Was sent for sampling post-race.,3,3
2023-10-04,B001,HK_2017_B001,EXPLOSIVE WITNESS,2,No report.,4,3
2023-10-04,E061,HK_2020_E061,HARMONY N BLESSED,1,"A veterinary inspection immediately following the race which included an endoscopic examination showed a substantial amount of blood in the horse’s trachea.  Before being allowed to race again, HARMONY N BLESSED will be subjected to an official veterinary examination.",5,3
2023-10-04,H396,HK_2022_H396,KYRUS DRAGON,5,"Was slow to begin.  When questioned, K De Melo stated that his mount was fractious in the barriers and as a consequence jumped awkwardly and lost ground at the start.  He said due to his mount’s mannerism in the barriers, he had not had the opportunity to fit his goggles and as a result after travelling approximately 200 Metres fitted his goggles.  When questioned regarding his riding on the Home Turn as to whether there was an opportunity to improve to the outside of EXPLOSIVE WITNESS sooner than what he did, K De Melo stated that from the 550 Metres his mount was not travelling well enough to make a forward move and as a consequence he elected to remain racing to the outside of EXPLOSIVE WITNESS.  He added that when EXPLOSIVE WITNESS then shifted out to improve on the Home Turn, this resulted in KYRUS DRAGON being taken wider before he was able to shift his mount back to the inside to secure clear running at the 300 Metres.  K De Melo was advised that whenever possible he must ensure all equipment is properly fitted before the start of a race.",6,3
2023-10-04,D356,HK_2019_D356,AMAZING ROCKY,8,"Became fractious whilst parading, examined by the Veterinary Officer on arrival at the Start and passed suitable to race.  A veterinary inspection immediately following the race did not show any significant findings.",7,3
2023-10-04,E105,HK_2020_E105,SUPER AXIOM,9,No report.,8,3
2023-10-04,H456,HK_2022_H456,SPORTS LEGEND,7,"Jumped awkwardly and then was bumped shortly after the start.  After the race, C Y Ho stated that whilst his mount was obliged to race wide and without cover for the majority of the event, when he had concern that there might be something amiss with SPORTS LEGEND, he did not ride it out to the finish.  Trainer J Richards stated that SPORTS LEGEND had pleased him in its three barrier trials since arriving in Hong Kong, however, in retrospect SPORTS LEGEND may have needed some more time to climatise to Hong Kong.  He added that as a result he now intends to send SPORTS LEGEND to Conghua to freshen it up before its next race start.  A veterinary inspection immediately following the race did not show any significant findings.  The performance of SPORTS LEGEND was considered unacceptable.  Before being allowed to race again, SPORTS LEGEND will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.",9,3
2023-10-04,G282,HK_2021_G282,VIVA A LA,7,Was sent for sampling post-race.,1,1
2023-10-04,E025,HK_2020_E025,YEE CHEONG WARRIOR,3,Was sent for sampling post-race.,2,1
2023-10-04,E403,HK_2020_E403,TSUEN WAN GLORY,8,"Jumped awkwardly, shifted in and bumped SUPER BUDDY and became unbalanced.",3,1
2023-10-04,G279,HK_2021_G279,M M NEBULA,2,"Was found to have blood in its mouth on arrival at the barriers, was examined by the Veterinary Officer and passed suitable to race.  Raced wide and without cover for the majority of the event.",4,1
2023-10-04,E166,HK_2020_E166,SUNNY BABY,1,"After the race, Z Purton stated that his mount was not suited by tonight’s ""Good to Firm” track conditions and as a consequence failed to respond strongly to his riding in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.",5,1
2023-10-04,E311,HK_2020_E311,HANG'S CHOICE,11,Approaching the 200 Metres was disappointed for clear running to the inside of SUPER BUDDY which shifted in after initially shifting out and did not obtain clear running until the 150 Metres.,6,1
2023-10-04,E205,HK_2020_E205,SUPER BUDDY,5,Lay in under pressure when giving ground in the Home Straight.,7,1
2023-10-04,G232,HK_2021_G232,BEAUTY NOVA,9,A veterinary inspection immediately following the race did not show any significant findings.,8,1
2023-10-04,G280,HK_2021_G280,BRILLIANT EIGHT,10,No report.,9,1
2023-10-04,D281,HK_2019_D281,MILLENNIUM FALCON,4,"Over-raced in the early stages.  After the race, Apprentice Y L Chung explained his intention was to be more forward, but his mount jumped awkwardly and as a consequence settled back.  A veterinary inspection immediately following the race did not show any significant findings.",10,1
2023-10-04,D070,HK_2019_D070,DAILY BEAUTY,6,"From the outside barrier was shifted across behind runners in the early stages.  From the 900 Metres commenced a forward move, but showed insufficient pace to cross runners and as a result raced wide and without cover from that point.  A veterinary inspection immediately following the race did not show any significant findings.",11,1
2023-10-04,H080,HK_2022_H080,JUNE PLANET,2,Jumped only fairly.  Was sent for sampling post-race.,1,4
2023-10-04,B085,HK_2017_B085,FEARLESS FIRE,8,Was sent for sampling post-race.,2,4
2023-10-04,G098,HK_2021_G098,BEAUTY MISSION,11,From the outside barrier was shifted across behind runners in the early stages.  Approaching the 900 Metres commenced to race keenly and was steadied away from SUPER BABY.,3,4
2023-10-04,E082,HK_2020_E082,DURHAM STAR,3,Was held up for clear running from the 500 Metres to the 300 Metres.  Was sent for sampling post-race.,4,4
2023-10-04,H206,HK_2022_H206,LITTLE FAIRY,7,Was bumped at the start.  From a wide barrier was shifted across behind runners in the early stages.  For some distance near the 200 Metres raced tight to the outside of BEAUTY MISSION when that runner shifted out slightly and near the 100 Metres was obliged to be corrected by its rider to avoid the heels of BEAUTY MISSION.,5,4
2023-10-04,D419,HK_2019_D419,LEGION OF MERIT,5,Raced wide and without cover in the early and middle stages and as a result was allowed to stride forward from the 1000 Metres to take up a position closer to the rail.,6,4
2023-10-04,H101,HK_2022_H101,HAPPY HUNK,10,"Was bumped at the start.  When questioned regarding his mount settling in a more forward position, K C Leung stated that he was instructed to hold a midfield position.  He said after commencing well and when caught wide in the early stages, he allowed HAPPY HUNK to stride forward to avoid covering additional ground and as a consequence settled more forward than what he had intended.  Trainer K L Man confirmed the instructions issued.",7,4
2023-10-04,G364,HK_2021_G364,SUPER BABY,1,From a wide barrier was shifted across behind runners in the early stages.  A veterinary inspection immediately following the race did not show any significant findings.,8,4
2023-10-04,H158,HK_2022_H158,CYBER PATCH,9,No report.,9,4
2023-10-04,G372,HK_2021_G372,YEABOI,6,"Near the 1400 Metres shifted in, made contact with the rail and became unbalanced.  Passing the 1200 Metres shifted in and brushed the running rail.  A veterinary inspection immediately following the race did not show any significant findings.",10,4
2023-10-04,H310,HK_2022_H310,E TALENT,4,"Jumped only fairly and then raced tight for a short distance after the start.  Near the 1400 Metres was bumped by YEABOI.  The performance of E TALENT was considered unacceptable.  Before being allowed to race again, E TALENT will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.  A veterinary inspection immediately following the race did not show any significant findings.",11,4
2023-10-04,H262,HK_2022_H262,CAPITAL DELIGHT,5,"Was slow to begin.  Near the 550 Metres commenced to race keenly and shifted out when being steadied away from EXCELLENT PEERS.  C Y Ho was found guilty of a charge under Rule 100(2) in that he failed to ride his mount out all the way to the end of the race to the satisfaction of the Stewards.  Having considered precedent penalties, Jockey Ho’s record in relation to like offences and the nature of the breach in circumstances where his mount dead-heated for first placing, the Stewards believed the appropriate penalty was for C Y Ho’s licence to ride in races be suspended for a period to commence on Wednesday, 18 October 2023 and to expire on Monday, 20 November 2023 on which day he may resume race riding (10 Hong Kong racedays).  Was sent for sampling post-race.",1 DH,5
2023-10-04,E385,HK_2020_E385,LUCKY ARCHANGEL,7,Was sent for sampling post-race.,1 DH,5
2023-10-04,G033,HK_2021_G033,EXCELLENT PEERS,1,Was slow to begin.,3,5
2023-10-04,H007,HK_2021_H007,ALLGREEKTOME,3,Raced keenly in the lead in the early and middle stages.  A veterinary inspection immediately following the race did not show any significant findings. Was sent for sampling post-race.,4,5
2023-10-04,H303,HK_2022_H303,TOMODACHI KOKOROE,9,No report.,5,5
2023-10-04,H241,HK_2022_H241,RED ELEGANCE,8,Near the 500 Metres commenced to race keenly and was steadied away from LUCKY ARCHANGEL.  A veterinary inspection immediately following the race did not show any significant findings.,6,5
2023-10-04,E459,HK_2020_E459,BEAUTY GLORY,4,A veterinary inspection immediately following the race did not show any significant findings.,7,5
2023-10-04,H153,HK_2022_H153,EURO ROCKS,6,"Shortly after the start became unbalanced.  When questioned, L Hewitson stated that he had expected to take up a forward position, preferably with cover.  He said in the early stages when EURO ROCKS was caught wide, he elected to continue forward on his mount to cross LUCKY ARCHANGEL and as a consequence settled outside the leader ALLGREEKTOME.  He added that EURO ROCKS, which was having its first start at Happy Valley tonight, may not have appreciated the circuit and in addition was not comfortable on the ""Good to Firm” track conditions.  He further stated that, in his opinion, EURO ROCKS would be better suited on the All Weather surface.  A veterinary inspection immediately following the race did not show any significant findings.",8,5
2023-10-04,D272,HK_2019_D272,KEEP YOU WARM,2,"Was withdrawn on 3.10.23 by order of the Stewards acting on veterinary advice (lame left fore).  Before being allowed to race again, KEEP YOU WARM will be subjected to an official veterinary examination.",WV,5
2023-10-04,G471,HK_2021_G471,DENFIELD,1,"Shifted in at the start and then was bumped.  When questioned regarding DENFIELD leading the event, Z Purton stated that whilst he was asked to take up a forward position on DENFIELD, he was not specifically asked to lead.  He stated that when his mount commenced reasonably well, he elected to continue forward and hold the lead, particularly as there was no identified leader in the race.  Trainer C S Shum confirmed the instructions issued.  Was sent for sampling post-race.",1,6
2023-10-04,D222,HK_2019_D222,GOLDEN LINK,5,"When questioned regarding the tactics adopted on GOLDEN LINK, K C Leung explained that his instructions were to find cover in behind the lead.  He said whilst GOLDEN LINK jumped well this evening, he was mindful that his instructions were to find cover and for this reason he allowed DENFIELD to cross GOLDEN LINK to comply with his instructions.  Trainer P F Yiu confirmed the instructions issued.  Was sent for sampling post-race.",2,6
2023-10-04,G413,HK_2021_G413,HIGH PERCENTAGE,7,Jumped only fairly and then was badly crowded shortly after the start.,3,6
2023-10-04,G108,HK_2021_G108,FLAMING EAGLE,10,Near the 1100 Metres was steadied to avoid GOLDEN LINK (K C Leung) which shifted in when not quite clear.  K C Leung was advised to exercise more care.  Was brushed near the 200 Metres.,4,6
2023-10-04,G181,HK_2021_G181,SPEEDSTAR,12,Was bumped at the start. Raced wide and without cover from the 700 Metres.,5,6
2023-10-04,E471,HK_2020_E471,LESLIE,2,From the outside barrier was shifted across behind runners in the early stages.  A veterinary inspection immediately following the race did not show any significant findings.,6,6
2023-10-04,G328,HK_2021_G328,PRIME MORTAR,3,Jumped only fairly.  Over-raced in the early stages.,7,6
