date,racecourse,max_race
2010/09/05,ST,10
2010/09/08,HV,8
2010/09/12,ST,10
2010/09/15,HV,8
2010/09/18,ST,10
2010/09/23,HV,10
2010/09/26,ST,10
2010/10/01,ST,10
2010/10/06,HV,8
2010/10/10,ST,10
2010/10/13,HV,8
2010/10/17,ST,10
2010/10/20,HV,8
2010/10/24,ST,10
2010/10/31,HV,10
2010/11/03,ST,8
2010/11/06,ST,10
2010/11/10,HV,8
2010/11/14,ST,10
2010/11/17,HV,8
2010/11/21,ST,10
2010/11/24,HV,8
2010/11/28,ST,10
2010/12/01,HV,8
2010/12/04,ST,10
2010/12/08,HV,8
2010/12/12,ST,10
2010/12/15,HV,8
2010/12/19,ST,10
2010/12/23,HV,8
2010/12/27,ST,10
2011/01/01,ST,11
2011/01/05,HV,8
2011/01/09,ST,10
2011/01/12,HV,8
2011/01/16,ST,10
2011/01/19,HV,8
2011/01/23,ST,10
2011/01/26,HV,8
2011/01/30,ST,10
2011/02/05,ST,11
2011/02/09,HV,8
2011/02/12,ST,10
2011/02/16,HV,8
2011/02/20,ST,10
2011/02/23,HV,8
2011/02/27,ST,10
2011/03/02,HV,8
2011/03/06,ST,10
2011/03/09,HV,8
2011/03/12,ST,10
2011/03/16,HV,8
2011/03/20,ST,10
2011/03/23,ST,8
2011/03/27,ST,10
2011/03/30,HV,8
2011/04/03,ST,11
2011/04/06,HV,8
2011/04/09,ST,10
2011/04/13,ST,8
2011/04/17,HV,10
2011/04/20,HV,8
2011/04/25,ST,11
2011/05/01,ST,10
2011/05/04,HV,8
2011/05/07,ST,10
2011/05/10,ST,11
2011/05/15,ST,10
2011/05/18,HV,8
2011/05/21,ST,10
2011/05/25,HV,8
2011/05/29,ST,11
2011/06/01,HV,8
2011/06/05,ST,10
2011/06/08,HV,8
2011/06/11,ST,10
2011/06/15,HV,8
2011/06/19,ST,11
2011/06/22,HV,8
2011/06/26,ST,10
2011/07/01,ST,11
2011/07/06,HV,8
2011/07/10,ST,11
